Row Labels,Average of TotalMinutesAsleep
1503960366,360.28
1644430081,294
1844505072,652
1927972279,417
2026352035,506.1785714
2320127002,61
2347167796,446.8
3977333714,293.6428571
4020332650,349.375
4319703577,476.6538462
4388161847,400.173913
4445114986,385.1785714
4558609924,127.6
4702921684,417.4814815
5553957443,463.483871
5577150313,432
6117666160,478.7777778
6775888955,349.6666667
6962181067,448
7007744171,68.5
7086361926,453.125
8053475328,297
8378563200,445.1290323
8792009665,435.6666667
Grand Total,419.1731707
