Row Labels,Average of TotalMinutesAsleep,Average of TotalTimeInBed
1503960366,360.28,383.2
1644430081,294,346
1844505072,652,961
1927972279,417,437.8
2026352035,506.1785714,537.6428571
2320127002,61,69
2347167796,446.8,491.3333333
3977333714,293.6428571,461.1428571
4020332650,349.375,379.75
4319703577,476.6538462,501.9615385
4388161847,400.173913,423.2173913
4445114986,385.1785714,416.8214286
4558609924,127.6,140
4702921684,417.4814815,438.2222222
5553957443,463.483871,505.8709677
5577150313,432,460.6153846
6117666160,478.7777778,510.1666667
6775888955,349.6666667,369
6962181067,448,466.1290323
7007744171,68.5,71.5
7086361926,453.125,466.4166667
8053475328,297,301.6666667
8378563200,445.1290323,485.9354839
8792009665,435.6666667,453.8
Grand Total,419.1731707,458.4829268
